#t = 2646452000.000000 [s], N conservation: 8.916e-01 
#gam, dgam, dN/dgam, Ee*dN, dN/dgam/dt, dgam/dt, tad[s], tsyn[s] 
6.640164e+00 6.756462e-02 4.322242e+52 1.587594e+46 1.582082e+41 2.511592e-09 2.643807e+09 4.155717e+20 
6.707729e+00 6.825210e-02 4.256669e+52 1.595488e+46 1.558238e+41 2.537148e-09 2.643807e+09 4.113858e+20 
6.775981e+00 6.894658e-02 4.192087e+52 1.603420e+46 1.534754e+41 2.562963e-09 2.643807e+09 4.072421e+20 
6.844927e+00 6.964812e-02 4.128481e+52 1.611390e+46 1.511624e+41 2.589042e-09 2.643807e+09 4.031400e+20 
6.914575e+00 7.035680e-02 4.065836e+52 1.619398e+46 1.488843e+41 2.615386e-09 2.643807e+09 3.990794e+20 
6.984932e+00 7.107269e-02 4.004138e+52 1.627445e+46 1.466405e+41 2.641998e-09 2.643807e+09 3.950596e+20 
7.056005e+00 7.179586e-02 3.943373e+52 1.635529e+46 1.444305e+41 2.668880e-09 2.643807e+09 3.910803e+20 
7.127801e+00 7.252640e-02 3.883525e+52 1.643652e+46 1.422538e+41 2.696037e-09 2.643807e+09 3.871411e+20 
7.200327e+00 7.326436e-02 3.824583e+52 1.651814e+46 1.401099e+41 2.723469e-09 2.643807e+09 3.832415e+20 
7.273591e+00 7.400984e-02 3.766531e+52 1.660015e+46 1.379983e+41 2.751181e-09 2.643807e+09 3.793813e+20 
7.347601e+00 7.476290e-02 3.709356e+52 1.668255e+46 1.359185e+41 2.779175e-09 2.643807e+09 3.755599e+20 
7.422364e+00 7.552362e-02 3.653046e+52 1.676534e+46 1.338701e+41 2.807453e-09 2.643807e+09 3.717770e+20 
7.497888e+00 7.629209e-02 3.597586e+52 1.684852e+46 1.318526e+41 2.836019e-09 2.643807e+09 3.680322e+20 
7.574180e+00 7.706837e-02 3.542965e+52 1.693210e+46 1.298655e+41 2.864876e-09 2.643807e+09 3.643252e+20 
7.651248e+00 7.785255e-02 3.489170e+52 1.701608e+46 1.279083e+41 2.894027e-09 2.643807e+09 3.606554e+20 
7.729101e+00 7.864471e-02 3.436188e+52 1.710045e+46 1.259806e+41 2.923474e-09 2.643807e+09 3.570227e+20 
7.807745e+00 7.944493e-02 3.384006e+52 1.718522e+46 1.240820e+41 2.953221e-09 2.643807e+09 3.534265e+20 
7.887190e+00 8.025330e-02 3.332614e+52 1.727040e+46 1.222119e+41 2.983270e-09 2.643807e+09 3.498666e+20 
7.967444e+00 8.106988e-02 3.281998e+52 1.735598e+46 1.203701e+41 3.013625e-09 2.643807e+09 3.463425e+20 
8.048514e+00 8.189478e-02 3.232147e+52 1.744196e+46 1.185560e+41 3.044289e-09 2.643807e+09 3.428539e+20 
